title,country trending,year,origin,duration,rating,genres,google search rank
Mean Girls 2,United Kingdom,2011,United States,98 min,PG-13,Comedies,3
John Carter,Romania,2012,United States,133 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",2
The Conjuring,Ireland,2013,United States,112 min,R,"Horror Movies, Thrillers",5
The Conjuring,Singapore,2013,United States,112 min,R,"Horror Movies, Thrillers",1
The Conjuring,United Kingdom,2013,United States,112 min,R,"Horror Movies, Thrillers",4
Ragini MMS 2,India,2014,India,113 min,TV-MA,"Horror Movies, International Movies",1
Happy New Year,India,2014,India,179 min,TV-14,"Action & Adventure, Comedies, Dramas",4
Prem Ratan Dhan Payo,India,2015,India,164 min,TV-14,"Action & Adventure, Dramas, International Movies",3
ABCD 2,India,2015,India,146 min,TV-14,"Dramas, International Movies, Music & Musicals",4
Heneral Luna,Philippines,2015,Philippines,118 min,R,"Dramas, International Movies",5
Udta Punjab,India,2016,India,146 min,TV-MA,"Dramas, International Movies",3
Train to Busan,Philippines,2016,South Korea,118 min,TV-MA,"Action & Adventure, Horror Movies, International Movies",1
Train to Busan,Singapore,2016,South Korea,118 min,TV-MA,"Action & Adventure, Horror Movies, International Movies",3
Half Girlfriend,India,2017,India,129 min,TV-14,"Dramas, International Movies, Romantic Movies",3
Black Panther,Global,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",1
Black Panther,Canada,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",1
Black Panther,Ireland,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",2
Black Panther,Nigeria,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",1
Black Panther,Philippines,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",4
Black Panther,Singapore,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",1
Black Panther,United Kingdom,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",1
Black Panther,United States,2018,United States,135 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",1
Avengers: Infinity War,Global,2018,United States,150 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",4
Avengers: Infinity War,United Kingdom,2018,United States,150 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",3
Avengers: Infinity War,United States,2018,United States,150 min,PG-13,"Action & Adventure, Sci-Fi & Fantasy",4
Sanju,Pakistan,2018,India,159 min,TV-MA,"Dramas, International Movies",2
The Irishman,Ireland,2019,United States,209 min,R,Dramas,2
Kabir Singh,India,2019,India,171 min,TV-MA,"Dramas, International Movies, Romantic Movies",1
Extraction,Kenya,2020,United States,117 min,R,Action & Adventure,4
